Date,Close
2019-06-11,139.75
2019-06-12,135
2019-06-13,129.48
2019-06-14,135.1
2019-06-15,136.29
2019-06-16,135.84
2019-06-17,133.08
2019-06-18,134.37
2019-06-19,136.37
2019-06-20,137.85
2019-06-21,139.8
2019-06-22,141.36
2019-06-23,134.92
2019-06-24,135.67
2019-06-25,136.12
2019-06-26,129.61
2019-06-27,113.64
2019-06-28,115.75
2019-06-29,131.99
2019-06-30,125.3
2019-07-01,125.3
2019-07-02,121.33
2019-07-03,119.6
2019-07-04,119.49
2019-07-05,120.54
2019-07-06,118.13
2019-07-07,118.69
2019-07-08,122.81
2019-07-09,119.4
2019-07-10,103.66
2019-07-11,102.09
2019-07-12,102.92
2019-07-13,101.17
2019-07-14,89.33
2019-07-15,89.25
2019-07-16,79.49
2019-07-17,89.51
2019-07-18,98.4
2019-07-19,99.57
2019-07-20,98.61
2019-07-21,99.38
2019-07-22,94.07
2019-07-23,88.45
2019-07-24,95.38
2019-07-25,92.09
2019-07-26,94.75
2019-07-27,88.4
2019-07-28,90.66
2019-07-29,88.98
2019-07-30,91.29
2019-07-31,96.78
2019-08-01,96.25
2019-08-02,95.7
2019-08-03,91.23
2019-08-04,95.3
2019-08-05,95.43
2019-08-06,93.05
2019-08-07,91.2
2019-08-08,89
2019-08-09,86.17
2019-08-10,86.37
2019-08-11,88.67
2019-08-12,84.65
2019-08-13,85.64
2019-08-14,75.01
2019-08-15,75.88
2019-08-16,74.13
2019-08-17,72.22
2019-08-18,77.04
2019-08-19,75.98
2019-08-20,73.99
2019-08-21,71.52
2019-08-22,73.61
2019-08-23,74.2
2019-08-24,73.12
2019-08-25,74.03
2019-08-26,72.42
2019-08-27,71.6
2019-08-28,65.81
2019-08-29,62.91
2019-08-30,64.3
2019-08-31,64.97
2019-09-01,65.99
2019-09-02,66.97
2019-09-03,68.19
2019-09-04,67.11
2019-09-05,66.15
2019-09-06,64.84
2019-09-07,71.09
2019-09-08,69.07
2019-09-09,71.79
2019-09-10,70.72
2019-09-11,69.23
2019-09-12,69.29
2019-09-13,68.81
2019-09-14,70.09
2019-09-15,71.39
2019-09-16,72.44
2019-09-17,75.31
2019-09-18,73.35
2019-09-19,73.35
2019-09-20,74.69
2019-09-21,71.53
2019-09-22,71.9
2019-09-23,66.59
2019-09-24,57.23
2019-09-25,56.16
2019-09-26,54.81
2019-09-27,55.57
2019-09-28,54.68
2019-09-29,53.57
2019-09-30,56.89
2019-10-01,56.17
2019-10-02,56.03
2019-10-03,56.03
2019-10-04,56.59
2019-10-05,56.13
2019-10-06,54.86
2019-10-07,57.97
2019-10-08,57.01
2019-10-09,59.05
2019-10-10,57.71
2019-10-11,56.24
2019-10-12,56.4
2019-10-13,56.68
2019-10-14,56.63
2019-10-15,54.9
2019-10-16,52.39
2019-10-17,54.5
2019-10-18,53.5
2019-10-19,53.29
2019-10-20,54.44
2019-10-21,55.07
2019-10-22,52.47
2019-10-23,48.73
2019-10-24,48.73
2019-10-25,58.76
2019-10-26,56.04
2019-10-27,60.02
2019-10-28,59.33
2019-10-29,59.64
2019-10-30,58.26
2019-10-31,57.76
2019-11-01,58.37
2019-11-02,58.44
2019-11-03,58.19
2019-11-04,62.19
2019-11-05,62.62
2019-11-06,62.96
2019-11-07,62.22
2019-11-08,61.22
2019-11-09,61.87
2019-11-10,63.26
2019-11-11,61.84
2019-11-12,61.84
2019-11-13,60.75
2019-11-14,58.59
2019-11-15,57.43
2019-11-16,58.22
2019-11-17,58.6
2019-11-18,55.82
2019-11-19,55.82
2019-11-20,54.71
2019-11-21,54.71
2019-11-22,47.56
2019-11-23,47.2
2019-11-24,43.52
2019-11-25,46.89
2019-11-26,45.91
2019-11-27,47.75
2019-11-28,47.67
2019-11-29,48.25
2019-11-30,45.93
2019-12-01,47.12
2019-12-02,45.79
2019-12-03,44.05
2019-12-04,44.05
2019-12-05,44.05
2019-12-06,45.43
2019-12-07,44.94
2019-12-08,45.48
2019-12-09,44.42
2019-12-10,43.86
2019-12-11,43.33
2019-12-12,43.33
2019-12-13,44.4
2019-12-14,43.28
2019-12-15,43.09
2019-12-16,43.09
2019-12-17,37.6
2019-12-18,40.38
2019-12-19,40.38
2019-12-20,40.01
2019-12-21,39.77
